[Fri May 23 22:38:00 2025] REP socket em tcp://*:5560
[Fri May 23 22:38:00 2025] Conectado no broker REQ em tcp://localhost:5559
[Fri May 23 22:38:00 2025] Rank recebido: 1, Coordenador: True
[Fri May 23 22:38:00 2025] Conectando no PUB do Broker em tcp://localhost:5558
[Fri May 23 22:38:00 2025] Iniciando sincronização do coordenador
[Fri May 23 22:38:42 2025] Status - Local: 1748039880.586, Lógico: 42, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:43 2025] Status - Local: 1748039880.586, Lógico: 43, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:44 2025] Status - Local: 1748039880.586, Lógico: 44, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:45 2025] Status - Local: 1748039880.586, Lógico: 45, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:46 2025] Status - Local: 1748039880.586, Lógico: 46, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:47 2025] Status - Local: 1748039880.586, Lógico: 47, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:48 2025] Status - Local: 1748039880.586, Lógico: 48, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:49 2025] Status - Local: 1748039880.586, Lógico: 49, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:50 2025] Nenhum servidor conhecido para sincronizar
[Fri May 23 22:38:50 2025] Status - Local: 1748039880.586, Lógico: 50, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:51 2025] Status - Local: 1748039880.586, Lógico: 51, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:52 2025] Status - Local: 1748039880.586, Lógico: 52, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:53 2025] Status - Local: 1748039880.586, Lógico: 53, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
