[Fri May 23 23:15:29 2025] REP socket em tcp://*:5552
[Fri May 23 23:15:29 2025] Conectado no broker REQ em tcp://localhost:5559
[Fri May 23 23:15:29 2025] Rank recebido: 3, Coordenador: False
[Fri May 23 23:15:29 2025] Conectando no PUB do Broker em tcp://localhost:5558
[Fri May 23 23:15:30 2025] Mensagem recebida: TIME_REQUEST
[Fri May 23 23:15:30 2025] Enviando tempo local 1748042129.5962126
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 43, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 44, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 45, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 46, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 47, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 48, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 49, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 50, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 51, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 52, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 53, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 54, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 55, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 56, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 57, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 58, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 59, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 60, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 61, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 62, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 63, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 64, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 65, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 66, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 67, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 68, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 69, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 70, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 71, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 72, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 73, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 74, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 75, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 76, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 77, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 78, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 79, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 80, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 81, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 82, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 83, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 84, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 85, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 86, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 87, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 88, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 89, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 90, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 91, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 92, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 93, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 94, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 95, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 96, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 97, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 98, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 99, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 100, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 101, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 102, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 103, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 104, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 105, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 106, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 107, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 108, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 109, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 110, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 111, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 112, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 113, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 114, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 115, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 116, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 117, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 118, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 119, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 120, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 121, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 122, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 123, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 124, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 125, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 126, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 127, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 128, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 129, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
